cell	CL:0000000
primary cultured cell	CL:0000001
primary cell culture cell	CL:0000001
unpassaged cultured cell	CL:0000001
neural crest derived fibroblast	CL:0000005
fibroblast neural crest derived	CL:0000005
endoneurial fibroblasts	CL:0000005
neuronal receptor cell	CL:0000006
neuronal receptor cell (sensu Animalia)	CL:0000006
early embryonic cell (metazoa)	CL:0000007
early embryonic cells	CL:0000007
migratory cranial neural crest cell	CL:0000008
cultured cell	CL:0000010
migratory trunk neural crest cell	CL:0000011
germ line stem cell	CL:0000014
germline stem cell	CL:0000014
germline stem cells	CL:0000014
male germ cell	CL:0000015
undifferentiated spermatogonia	CL:0000015
male germline	CL:0000015
male germ line stem cell	CL:0000016
SSC	CL:0000016
spermatogonial stem cell	CL:0000016
SSCs	CL:0000016
spermatogonial stem cells	CL:0000016
hSSC	CL:0000016
spermatocyte	CL:0000017
spermatocytes	CL:0000017
spermatid	CL:0000018
nematoblast	CL:0000018
spermatid cells	CL:0000018
spermatids	CL:0000018
sperm	CL:0000019
spermatozoon	CL:0000019
spermatozoid	CL:0000019
sperm cell	CL:0000019
spermatozoa	CL:0000019
sperm cells	CL:0000019
sperms	CL:0000019
spermatogonium	CL:0000020
spermatogonial cell	CL:0000020
spermatogonial	CL:0000020
germ cells	CL:0000020
spermatogenic cell	CL:0000020
spermatogonia	CL:0000020
SPG	CL:0000020
germ-cell	CL:0000020
germ cell	CL:0000020
female germ cell	CL:0000021
female germ cells	CL:0000021
female foetal germ cells	CL:0000021
female germ line stem cell	CL:0000022
female germline stem cells	CL:0000022
FGSCs	CL:0000022
oocyte	CL:0000023
oocytes	CL:0000023
eggs	CL:0000023
oogonial cell	CL:0000024
OSCs	CL:0000024
OSC	CL:0000024
egg cell	CL:0000025
ovum	CL:0000025
mature oocyte	CL:0000025
invertebrate nurse cell	CL:0000026
smooth muscle cell neural crest derived	CL:0000027
CNS neuron (sensu Nematoda and Protostomia)	CL:0000028
neural crest derived neuron	CL:0000029
neuron neural crest derived	CL:0000029
glioblast	CL:0000030
glial progenitor cells	CL:0000030
glioblasts	CL:0000030
neuroblast (sensu Vertebrata)	CL:0000031
neuroblast	CL:0000031
neuroplacodal cell	CL:0000032
neural placode cell	CL:0000032
apocrine cell	CL:0000033
apocrine (left) and merocrine (right) secretory cells	CL:0000033
Apocrine cells	CL:0000033
stem cell	CL:0000034
animal stem cell	CL:0000034
